fua_code,fua_name,Year,kernel_mean
FR039L1,Avignon,2000,53.08823271530899
FR040L2,Mulhouse,2000,63.146713867517434
FR042L2,Dunkerque,2000,49.393971735949336
FR043L2,Perpignan,2000,44.85368500907217
FR044L2,NÃ®mes,2000,43.30541144060803
FR045L2,Pau,2000,65.03147112898087
FR046L2,Bayonne,2000,78.59387967617441
FR047L0,Annemasse,2000,70.4522702022776
FR048L2,Annecy,2000,80.73125186520852
FR049L2,Lorient,2000,61.22547824359974
FR050L2,MontbÃ©liard,2000,76.36938466097509
FR051L2,Troyes,2000,43.96648547602154
FR052L2,Saint-Nazaire,2000,67.2226111597714
FR053L2,La Rochelle,2000,18.20447589937879
FR056L2,AngoulÃªme,2000,41.68066060891712
FR057L2,Boulogne-sur-Mer,2000,65.18026525616905
FR058L2,ChambÃ©ry,2000,80.20929001970988
FR059L2,Chalon-sur-SaÃ´ne,2000,59.02183303740534
FR060L2,Chartres,2000,20.09731251948804
FR061L2,Niort,2000,32.36600280367898
FR062L2,Calais,2000,54.907914366173515
FR063L2,BÃ©ziers,2000,32.41202199182358
FR064L2,Arras,2000,52.59267505617346
FR065L2,Bourges,2000,47.01448879209933
FR066L2,Saint-Brieuc,2000,58.50372466507593
FR067L2,Quimper,2000,63.46015004401793
FR068L2,Vannes,2000,60.548858489854815
FR069L2,Cherbourg,2000,69.26299390438884
FR073L2,Tarbes,2000,59.87745430168109
FR074L2,CompiÃ¨gne,2000,63.307706805877615
FR076L2,Belfort,2000,74.8005808957557
FR077L2,Roanne,2000,82.78302816089447
FR079L2,Saint-Quentin,2000,36.61585867949248
FR082L2,Beauvais,2000,56.76271870983969
FR084L2,Creil,2000,57.677568081544614
FR086L2,Evreux,2000,34.36468982269649
FR090L2,ChÃ¢teauroux,2000,50.899211719947935
FR093L2,Brive-la-Gaillarde,2000,66.21729031078591
FR096L2,Albi,2000,54.17224609990462
FR099L2,FrÃ©jus,2000,69.44802443163101
FR104L2,ChÃ¢lons-en-Champagne,2000,33.80806800595539
FR203L2,Marseille,2000,61.981876888208774
FR205L2,Nice,2000,72.57865991354632
FR207L2,Lens - LiÃ©vin,2000,45.46219299997038
FR208L1,HÃ©nin - Carvin,2000,38.81098066643412
FR209L2,Douai,2000,45.061109644401185
FR214L1,Valence,2000,61.40065921502435
FR215L2,Rouen,2000,60.08966835270696
FR304L1,Melun,2000,67.56192501348372
FR324L1,Martigues,2000,37.65614027247033
FR505L1,Charleville-MÃ©ziÃ¨res,2000,87.05340571734715
FR506L1,Colmar,2000,67.60269433984634
FR519L1,Cannes,2000,72.38733814358258
HR001L2,Grad Zagreb,2000,48.44652663692956
HR002L2,Rijeka,2000,86.47288753118693
HR003L2,Slavonski Brod,2000,41.343205317076546
HR004L2,Osijek,2000,25.285320777221997
HR005L2,Split,2000,40.93665895262015
HR006L1,Pula - Pola,2000,52.04127918104186
HR007L1,Zadar,2000,31.71924363824825
HU001L2,Budapest,2000,48.959933827425914
HU002L2,Miskolc,2000,31.275896463711188
HU003L2,NyÃ­regyhÃ¡za,2000,41.24030191592134
HU004L2,PÃ©cs,2000,36.03351513300677
HU005L2,Debrecen,2000,50.71776116544394
HU006L2,Szeged,2000,20.07551046041144
HU007L2,GyÃµr,2000,38.92274938841489
HU008L2,KecskemÃ©t,2000,24.798655551617017
HU009L2,SzÃ©kesfehÃ©rvÃ¡r,2000,35.58193749019843
HU010L1,Szombathely,2000,38.21635830690778
HU011L1,Szolnok,2000,10.49402927352399
HU012L1,TatabÃ¡nya,2000,57.6285394509325
HU013L1,VeszprÃ©m,2000,51.638771217405775
HU014L1,BÃ©kÃ©scsaba,2000,20.71671626848418
HU015L1,KaposvÃ¡r,2000,33.69010746151762
HU016L1,Eger,2000,53.10236050618725
HU017L1,DunaÃºjvÃ¡ros,2000,30.20846385798882
HU018L1,Zalaegerszeg,2000,61.39179462852925
HU019L1,Sopron,2000,49.04854462943427
IE001L1,Dublin,2000,70.28053947859519
IE002L1,Cork,2000,75.52470125285102
IE003L1,Limerick,2000,79.61331678805385
IE004L1,Galway,2000,67.97416726346985
IE005L1,Waterford,2000,75.90790398091258
IT001L3,Roma,2000,54.75754591163593
IT002L3,Milano,2000,47.41171207502552
IT003L3,Napoli,2000,43.36120835140558
IT004L2,Torino,2000,62.95218759532316
IT005L3,Palermo,2000,40.08257137592794
IT006L3,Genova,2000,81.15554049316624
IT007L3,Firenze,2000,51.11219693628828
