fua_code,Year,Gini
BG018L1,2002,0.86173
BG018L1,2003,0.41061
BG018L1,2004,0.27471
BG018L1,2005,0.19617
BG018L1,2006,0.29537
BG018L1,2007,0.32121
BG018L1,2008,0.29304
BG018L1,2009,0.28972
BG018L1,2010,0.32277
BG018L1,2011,0.3232
BG018L1,2014,0.23067
BG018L1,2015,0.29992
BG018L1,2016,0.24061
BG018L1,2017,0.24371
BG018L1,2018,0.23167
BG018L1,2019,0.35002
BG018L1,2020,0.23702
CH001L2,2000,0.19762
CH001L2,2001,0.222
CH001L2,2002,0.24642
CH001L2,2003,0.23602
CH001L2,2004,0.24971
CH001L2,2005,0.25645
CH001L2,2006,0.22667
CH001L2,2007,0.23235
CH001L2,2008,0.22463
CH001L2,2009,0.23471
CH001L2,2010,0.23642
CH001L2,2011,0.23512
CH001L2,2014,0.22264
CH001L2,2015,0.23235
CH001L2,2016,0.2177
CH001L2,2017,0.21673
CH001L2,2018,0.22017
CH001L2,2019,0.21726
CH001L2,2020,0.21394
CH002L2,2000,0.20449
CH002L2,2001,0.19461
CH002L2,2002,0.19586
CH002L2,2003,0.19547
CH002L2,2004,0.20792
CH002L2,2005,0.21938
CH002L2,2006,0.20999
CH002L2,2007,0.20324
CH002L2,2008,0.18787
CH002L2,2009,0.19707
CH002L2,2010,0.20468
CH002L2,2011,0.20688
CH002L2,2014,0.19269
CH002L2,2015,0.19573
CH002L2,2016,0.19108
CH002L2,2017,0.19565
CH002L2,2018,0.19457
CH002L2,2019,0.20857
CH002L2,2020,0.19609
CH003L2,2000,0.30042
CH003L2,2001,0.37146
CH003L2,2002,0.32
CH003L2,2003,0.32913
CH003L2,2004,0.37029
CH003L2,2005,0.35815
CH003L2,2006,0.3372
CH003L2,2007,0.35302
CH003L2,2008,0.29886
CH003L2,2009,0.3424
CH003L2,2010,0.32631
CH003L2,2011,0.33639
CH003L2,2014,0.29031
CH003L2,2015,0.30684
CH003L2,2016,0.27951
CH003L2,2017,0.28165
CH003L2,2018,0.27866
CH003L2,2019,0.29632
CH003L2,2020,0.29836
CH004L2,2000,0.12077
CH004L2,2001,0.13678
CH004L2,2002,0.15102
CH004L2,2003,0.13167
CH004L2,2004,0.15072
CH004L2,2005,0.14413
CH004L2,2006,0.14077
CH004L2,2007,0.14392
CH004L2,2008,0.13461
CH004L2,2009,0.13002
CH004L2,2010,0.14699
CH004L2,2011,0.14186
CH004L2,2014,0.1281
CH004L2,2015,0.13962
CH004L2,2016,0.12774
CH004L2,2017,0.13555
CH004L2,2018,0.1346
CH004L2,2019,0.13881
CH004L2,2020,0.13755
CH005L2,2000,0.13969
CH005L2,2001,0.14317
CH005L2,2002,0.14935
CH005L2,2003,0.14306
CH005L2,2004,0.15069
CH005L2,2005,0.17442
CH005L2,2006,0.13965
CH005L2,2007,0.14008
CH005L2,2008,0.13907
CH005L2,2009,0.14582
CH005L2,2010,0.15876
