fua_code,mean_annual_change_pct,p_value,slope,slope_degrees
RO503L1,-0.369,0.0,-0.98,-44.51
RO504L1,-1.7796,0.0,-1.14,-48.62
RO505L1,-0.9464,0.0,-1.36,-53.66
RO506L1,-1.7833,0.0,-1.07,-47.05
RO507L1,-0.0428,0.03,-0.45,-24.26
RO508L1,-0.7349,0.0,-1.19,-49.92
RO509L1,-0.1363,0.0,-0.84,-40.19
RO510L1,0.2949,0.02,-0.94,-43.2
RO511L1,-1.9269,0.03,-0.75,-36.96
RO512L1,-1.1067,0.02,-0.72,-35.92
RO513L1,-1.4014,0.0,-0.9,-41.98
RS001L1,-0.8361,0.0,-0.34,-18.76
RS002L1,-1.3807,0.0,-0.6,-30.97
RS003L1,-0.955,0.0,-0.72,-35.77
RS004L1,-0.5582,0.0,-0.49,-26.13
RS005L1,-2.0064,0.0,-0.78,-37.84
RS006L1,0.165,0.71,-0.04,-2.45
RS008L1,-1.6576,0.0,-0.77,-37.58
RS009L1,-0.234,0.81,-0.04,-2.52
RS011L0,0.074,0.87,-0.02,-1.41
RS012L1,-0.7225,0.09,-0.32,-17.94
RS013L1,-1.4141,0.02,-0.56,-29.43
RS014L1,-1.0555,0.05,-0.23,-12.91
RS015L1,-0.7247,0.0,-0.73,-35.99
RS016L1,-0.3553,0.01,-0.35,-19.15
SE001L1,0.3722,0.0,0.12,7.07
SE002L1,0.9136,0.52,0.04,2.53
SE003L1,-0.0856,0.1,-0.2,-11.46
SE004L1,0.5794,0.3,0.05,2.74
SE005L1,2.7044,0.22,0.1,5.64
SE006L1,0.3232,0.13,0.11,6.42
SE007L1,0.556,0.13,0.06,3.36
SE008L1,0.5435,0.01,0.14,8.25
SE501L1,0.8898,0.0,0.19,10.76
SE502L1,0.7122,0.06,0.08,4.7
SE503L1,0.6387,0.09,0.15,8.67
SE505L1,0.8177,0.16,0.07,4.18
SI001L2,0.5065,0.2,-0.12,-6.9
SI002L1,-0.7224,0.0,-0.35,-19.08
SK001L1,-0.8682,0.0,-0.35,-19.4
SK002L1,-0.9895,0.0,-0.55,-28.84
SK003L1,-0.2863,0.01,-0.48,-25.44
SK004L1,-1.0931,0.0,-0.68,-34.32
SK005L1,-0.0745,0.09,-0.26,-14.78
SK006L1,-0.3092,0.04,-0.38,-20.72
SK007L1,-1.5895,0.03,-0.66,-33.56
SK008L1,-1.0071,0.05,-0.32,-17.83
UK001L3,-0.5217,0.0,-0.18,-10.32
UK002L3,-0.7242,0.0,-0.37,-20.06
UK003L2,-0.8548,0.02,-0.5,-26.35
UK004L1,-1.2409,0.0,-0.66,-33.51
UK006L3,-0.5524,0.0,-0.19,-10.79
UK007L1,-0.4239,0.0,-0.74,-36.51
UK008L3,-1.0949,0.0,-0.25,-14.13
UK009L1,-0.4236,0.0,-0.27,-14.85
UK010L3,-0.5268,0.0,-0.3,-16.74
UK011L2,-0.7085,0.0,-0.37,-20.31
UK012L2,-0.8979,0.0,-0.46,-24.85
UK013L2,-1.3586,0.0,-0.4,-21.77
UK014L1,-0.5597,0.0,-0.35,-19.54
UK016L1,-0.9725,0.0,-0.78,-37.92
UK017L2,-1.307,0.0,-0.51,-27.11
UK018L3,-0.651,0.0,-0.49,-26.29
UK019L3,-1.1476,0.0,-0.68,-34.37
UK023L1,-0.0651,0.01,-0.2,-11.21
UK024L1,-1.2151,0.0,-0.46,-24.89
UK025L3,-0.7978,0.0,-0.48,-25.73
UK026L1,-0.5262,0.0,-0.41,-22.09
UK027L1,-2.0752,0.0,-0.64,-32.46
UK029L1,-0.9843,0.02,-0.59,-30.7
UK033L1,-0.467,0.0,-0.33,-18.47
UK050L1,-0.7376,0.01,-0.37,-20.2
UK056L1,-1.1335,0.01,-0.25,-14.03
UK515L1,0.3146,0.02,-0.24,-13.52
UK516L1,-0.1726,0.0,-0.27,-14.97
UK517L1,-0.603,0.0,-0.36,-19.56
UK518L1,-0.8244,0.01,-0.39,-21.36
UK520L2,-0.4261,0.07,-0.28,-15.41
UK528L1,-0.3845,0.0,-0.36,-19.73
UK539L1,-1.0008,0.0,-0.36,-19.62
UK546L1,-0.3399,0.11,-0.15,-8.31
UK550L0,-1.5098,0.0,-0.58,-30.07
UK551L1,-1.2484,0.0,-0.83,-39.84
UK552L0,-0.3401,0.01,-0.32,-17.86
UK553L1,-0.2372,0.01,-0.23,-12.96
UK557L1,-0.5438,0.0,-0.29,-16.19
UK558L1,-1.0012,0.0,-0.38,-20.78
UK559L2,-0.869,0.0,-0.29,-16.07
UK560L1,-1.3315,0.0,-0.5,-26.37
UK562L2,-0.3913,0.0,-0.2,-11.24
UK566L1,-1.7552,0.01,-0.45,-24.09
UK568L1,-0.6559,0.0,-0.29,-16.43
UK569L2,-0.2553,0.06,-0.3,-16.85
UK571L1,-0.9814,0.0,-0.44,-23.84
XK001L1,1.2066,0.33,-0.16,-9.17
XK002L1,-0.8801,0.11,-0.13,-7.13
XK003L1,,,,
